Organization Name,Mission,Website,Contact Email,Headquarters Address,Street,City,State Province,Country,ZipPostal Code,Site Latitude,Site Longitude
Antarctic and Southern Ocean Coalition,"ASOC works full-time to secure the strongest possible protection for Antarctic and Southern Ocean environments and ecosystems. Our approach spans environmental advocacy, education and outreach, representation at international meetings, and research and monitoring of threats to the Antarctic.",http://www.asoc.org,secretariat@asoc.org,"1320 19th Street, NW, 5th Floor Washington, D.C. 20036","1320 19th Street, NW, 5th Floor",Washington,District of Columbia,United States,20036,38.90825322,-77.04380124
Environment and Conservation Organisations of New Zealand,"ECO works to protect New Zealand's unique natural heritage and to foster the relationship New Zealanders have with it. The natural environment is central to our culture, economy and identity. ECO acts to protect it for recreation, for its intrinsic quality and for our children and grandchildren to enjoy.",http://www.eco.org.nz,eco@eco.org.nz,"Level 2, 126 Vivian St, Wellington 6011 PO Box 11-057 Wellington New Zealand 6142","126 Vivian Street, Level 2",Wellington,,New Zealand,6011,-41.2951613,174.7764815
Australian Marine Conservation Society,"We are Australia's leading national charity dedicated solely to protecting our precious ocean wildlife – a community of ocean lovers across the nation working for healthy seas.",https://www.marineconservation.org.au,amcs@amcs.org.au,"Ground Floor, 35 Boundary St. SOUTH BRISBANE QLD 4101","Ground Floor, 35 Boundary St.",South Brisbane,Queensland,Australia,4101,-27.4803,153.0205
Great Australian Bight Alliance,"The Great Australian Bight is home to a unique and extraordinary array of marine life. Whales, sea lions, birds, turtles, fish and sponge gardens all depend on its pristine waters.",http://www.fightforthebight.org.au/,info@fightforthebight.org.au,"120 Wakefield Street Adelaide SA 5000 Australia",120 Wakefield Street,Adelaide,South Australia,Australia,,-33.346397,130.085726
Equilibrio Azul,"Equilibrio Azul is a non-for profit organization legally incorporated with the Ministry of Environment of Ecuador in December of 2004. Our organization was created in light of the urgent need to obtain information to conserve Ecuador's ecosystems and marine resources.",http://www.equilibrioazul.org,info@equilibrioazul.org,"Quito, Ecuador",,Quito,,Ecuador,,-0.22368,-78.50477
Equilibrio Azul: Machalilla National Park,"To aid in their conservation, our we have created PROJECT TURTLE, which consists mainly of the following activities: NESTING BEACHES MONITORING ON-BOARD MONITORING CRITICAL NESTING AND FEEDING GROUNDS EVALUATION",http://www.equilibrioazul.org/english/proyectos_tortugas_eng.html,info@equilibrioazul.org,"Parque Nacional Machalilla, Manabi",,Parque Nacional Machalilla,Manabi,,,-1.476442,-80.724707
Barefoot Conservation: Raj Ampat,"Barefoot Conservation is working in partnership with the Raja Ampat local government, local Papuan Communities and stakeholders, to protect the coral reefs of Raja Ampat and the communities that rely on them.",http://barefootconservation.org/expeditions/raja-ampat-indonesia/project-guide,info@barefootconservation.org,"Raja Ampat, Indonesia",,,Raja Ampat,Indonesia,,-0.7874826,130.5376809
Fundacion Charles Darwin,"CDF's mission is to provide knowledge and assistance through scientific research and complementary action to ensure the conservation of the environment and biodiversity in the Galapagos Archipelago.",http://www.darwinfoundation.org,cdrs@fcdarwin.org.ec,"Ave Charles Darwin 854 Puerto Ayora 200350, Ecuador",Ave Charles Darwin 854,Puerto Ayora,Galapagos,Ecuador,200350,-0.742416,-90.3110038
Centro Rescate de Especies Marinas Amenazadas (CREMA),"CREMA is a Costa Rican non-profit NGO founded in 2012. We are a marine conservation and research organization working to protect ocean resources and promote sustainable fisheries policies in Costa Rica and Central America.",http://cremacr.org/,info@cremacr.org,"Bario Las Rosas, Tibas San Jose 11302 Costa Rica","Bario Las Rosas, Tibas",San Jose,,Costa Rica,11302,9.868295063,-84.14497376
World Wildlife Foundation: Galapagos,"WWF has worked in the Galapagos since 1961, protecting key sites and wildlife populations, as well as supporting scientific research, environmental education and protected areas management.",http://www.worldwildlife.org/places/the-galapagos,info@wwf.org,"Ave. Charles Darwin y Seymour Puerto Ayora Santa Cruz Island Galápagos, Ecuador","Ave. Charles Darwin y Seymour Puerto Ayora",Santa Cruz Island,Galápagos,Ecuador,,-0.7425328,-90.3112291
